tableid,name,phonenumber,location,empgroup,function,gender,tenure,tenuregrp,experienceyymm,maritalstatus,ageinyy,hiringsource,promoted,jobrolematch,stayleft
1,sid,9876544345,Port Harcourt,B2,Operation,Male,0,< =1,6.0799999,Single,27.120001,Direct,Not Promoted,Yes,Left
2,sid,9876544345,Abuja,B7,Support,Male,0,< =1,13,Marr.,38.080002,Direct,Promoted,No,Stay
3,sid,9876544345,Kano,B3,Operation,Male,.0099999998,< =1,16.049999,Marr.,36.040001,Direct,Promoted,Yes,Stay
4,sid,9876544345,Abuja,B2,Operation,Male,.0099999998,< =1,6.0599999,Marr.,32.07,Direct,Promoted,Yes,Stay
5,sid,9876544345,Kaduna,B2,Operation,Male,0,< =1,7,Marr.,32.049999,Direct,Not Promoted,Yes,Stay
6,sid,9876544345,Kano,B3,Operation,Male,.0099999998,< =1,9.0100002,Marr.,39.09,Direct,Promoted,No,Stay
7,sid,9876544345,Port Harcourt,B2,Operation,Female,.0099999998,< =1,5.02,Single,28.02,Agency,Promoted,No,Stay
8,sid,9876544345,Kano,B2,Operation,Male,.0099999998,< =1,5.1100001,Marr.,30.110001,Agency,Promoted,No,Left
9,sid,9876544345,Kano,B2,Operation,Male,.02,< =1,6.04,Marr.,33.049999,Agency,Promoted,No,Left
10,sid,9876544345,Lagos,B2,Operation,Male,.0099999998,< =1,10.01,Div.,41.060001,Direct,Promoted,Yes,Stay
11,sid,9876544345,Abuja,B1,Operation,Male,.0099999998,< =1,.1,Single,27.1,Direct,Not Promoted,No,Left
12,sid,9876544345,Abuja,B2,Operation,Male,.0099999998,< =1,9.0799999,Marr.,34.09,Direct,Promoted,No,Stay
13,sid,9876544345,Ibadan,B2,Operation,Male,.0099999998,< =1,6.0300002,Single,30.01,Direct,Promoted,No,Left
14,sid,9876544345,Benin City,B2,Operation,Female,.02,< =1,6.0900002,Marr.,32.07,Direct,Not Promoted,No,Left
